id       trxType     moveType     accountType     amount       movedAt                      accountName                   
2746     2           2            1               -10.0        2023-01-29T19:26:00.000Z     ACEITE MOTOR                  
2293     2           2            1               -32.0        2022-07-16T17:04:00.000Z     ACEITE MOTOR                  
3670     2           2            1               -6.0         2024-02-10T18:23:00.000Z     ACEITE MOTOR                  
1335     2           2            1               -40.0        2021-09-02T14:00:00.000Z     ACEITE MOTOR                  
5395     2           2            1               -6.0         2025-10-11T22:40:50.242Z     ACEITE MOTOR                  
3535     2           2            1               -7.0         2023-12-03T16:18:00.000Z     ACEITE MOTOR                  
533      2           2            1               -6.0         2021-01-17T14:30:00.000Z     ACEITE MOTOR                  
4        2           2            1               0.0          2020-08-01T05:00:00.000Z     ACEITE MOTOR                  
1527     2           2            1               -6.0         2021-10-31T15:10:00.000Z     ACEITE MOTOR                  
3110     2           2            1               -6.0         2023-05-21T21:20:00.000Z     ACEITE MOTOR                  
4682     2           2            1               -36.0        2025-01-31T16:33:07.117Z     ACEITE MOTOR                  
1834     2           2            1               -32.0        2022-02-19T14:53:00.000Z     ACEITE MOTOR                  
368      2           2            1               -41.0        2020-11-29T17:00:00.000Z     ACEITE MOTOR                  
2908     2           2            1               -21.0        2023-04-07T14:00:00.000Z     ACEITE MOTOR                  
922      2           2            1               -87.36       2021-04-27T17:00:00.000Z     ALM. AKI                      
921      2           2            1               0.0          2020-08-01T05:00:00.000Z     ALM. AKI                      
1263     2           2            1               -22.0        2021-08-03T17:00:00.000Z     ALM. AKI                      
2011     2           2            1               -15.0        2022-04-19T16:21:00.000Z     ALM. AKI                      
1002     2           2            1               -40.0        2021-05-11T19:00:00.000Z     ALM. AKI                      
4627     2           2            1               -50.0        2025-01-13T02:09:43.000Z     ALM. TIA                      
3581     2           2            1               -52.5        2023-12-28T01:44:00.000Z     ALM. TIA                      
3848     2           2            1               -20.0        2024-04-13T00:46:15.293Z     ALM. TUTTI                    
2503     2           2            1               -28.79       2022-10-08T22:06:00.000Z     ALM. TUTTI                    
4286     2           2            1               -18.0        2024-08-24T19:08:08.000Z     ALM. TUTTI                    
2922     2           2            1               -30.0        2023-04-09T01:10:00.000Z     ALM. TUTTI                    
3160     2           2            1               -30.0        2023-06-08T00:24:00.000Z     ALM. TUTTI                    
2845     2           2            1               -50.0        2023-03-08T00:56:00.000Z     ALM. TUTTI                    
3422     2           2            1               -6.0         2023-10-02T11:18:00.000Z     ALM. TUTTI                    
3061     2           2            1               -60.0        2023-04-30T19:47:00.000Z     ALM. TUTTI                    
4365     2           2            1               -18.0        2024-09-15T23:04:17.528Z     ALM. TUTTI                    
4893     2           2            1               -10.0        2025-04-08T01:42:08.000Z     ALM. TUTTI                    
3105     2           2            1               -20.0        2023-05-20T14:13:00.000Z     ALM. TUTTI                    
2972     2           2            1               -25.0        2023-04-15T00:59:00.000Z     ALM. TUTTI                    
3576     2           2            1               -20.0        2023-12-23T01:20:00.000Z     ALM. TUTTI                    
4911     2           2            1               -43.0        2025-04-12T17:22:43.719Z     ALTERNADOR Y ARRANQUE         
4910     2           2            1               -52.0        2025-04-12T17:20:31.670Z     ALTERNADOR Y ARRANQUE         
88       2           2            1               0.0          2020-08-01T05:00:00.000Z     AVI. FERNÁNDEZ                
200      2           2            1               -80.0        2020-10-03T17:30:00.000Z     AVI. FERNÁNDEZ                
