id       trxType     moveType     accountType     amount     movedAt                      accountName               
1060     1           1            2               10.0       2021-05-29T01:15:00.000Z     AHORRO CONECEL # 1        
1308     1           1            2               10.0       2021-08-31T16:54:00.000Z     AHORRO CONECEL # 1        
455      1           1            2               10.0       2020-12-19T02:35:00.000Z     AHORRO CONECEL # 1        
1135     1           1            2               10.0       2021-06-29T23:45:00.000Z     AHORRO CONECEL # 1        
356      1           1            2               20.0       2020-11-28T00:05:00.000Z     AHORRO CONECEL # 1        
181      1           1            2               41.67      2020-09-29T18:35:00.000Z     AHORRO CONECEL # 1        
1234     1           1            2               10.0       2021-07-30T18:15:00.000Z     AHORRO CONECEL # 1        
275      1           1            2               40.12      2020-10-30T23:25:00.000Z     AHORRO CONECEL # 1        
676      1           1            2               10.0       2021-02-27T14:40:00.000Z     AHORRO CONECEL # 1        
357      1           1            2               22.5       2020-11-28T00:15:00.000Z     AHORRO CONECEL # 2        
456      1           1            2               22.5       2020-12-19T02:40:00.000Z     AHORRO CONECEL # 2        
182      1           1            2               22.5       2020-09-29T18:40:00.000Z     AHORRO CONECEL # 2        
586      1           1            2               22.5       2021-01-29T14:35:00.000Z     AHORRO CONECEL # 2        
276      1           1            2               22.5       2020-10-30T23:35:00.000Z     AHORRO CONECEL # 2        
7        1           1            2               22.5       2020-08-01T05:00:00.000Z     AHORRO CONECEL # 2        
1507     1           1            2               10.0       2021-10-28T22:29:00.000Z     AHORRO CONECEL # 2        
1915     1           1            2               10.0       2022-03-31T15:50:00.000Z     AHORRO CONECEL # 2        
1617     1           1            2               10.0       2021-11-30T15:17:00.000Z     AHORRO CONECEL # 2        
1674     1           1            2               10.0       2021-12-21T15:19:00.000Z     AHORRO CONECEL # 2        
1425     1           1            2               10.0       2021-09-29T20:19:00.000Z     AHORRO CONECEL # 2        
1309     1           1            2               22.5       2021-08-31T17:04:00.000Z     AHORRO CONECEL # 2        
1780     1           1            2               10.0       2022-01-29T22:16:00.000Z     AHORRO CONECEL # 2        
1854     1           1            2               10.0       2022-02-28T15:06:00.000Z     AHORRO CONECEL # 2        
1235     1           1            2               22.5       2021-07-30T18:45:00.000Z     AHORRO CONECEL # 2        
677      1           1            2               22.5       2021-02-27T14:45:00.000Z     AHORRO CONECEL # 2        
1136     1           1            2               22.5       2021-06-30T00:00:00.000Z     AHORRO CONECEL # 2        
773      1           1            2               22.5       2021-03-30T15:20:00.000Z     AHORRO CONECEL # 2        
2083     1           1            2               10.0       2022-04-30T14:45:00.000Z     AHORRO CONECEL # 2        
1061     1           1            2               22.5       2021-05-29T01:45:00.000Z     AHORRO CONECEL # 2        
2192     1           1            2               10.0       2022-05-31T11:51:00.000Z     AHORRO CONECEL # 2        
985      1           1            2               22.5       2021-05-01T03:15:00.000Z     AHORRO CONECEL # 2        
3333     1           1            2               10.0       2023-08-30T01:04:00.000Z     AHORRO CONECEL # 4        
3637     1           1            2               10.0       2024-01-31T11:06:00.000Z     AHORRO CONECEL # 4        
3776     4           1            2               10.0       2024-03-28T12:10:27.966Z     AHORRO CONECEL # 4        
3270     1           1            2               10.0       2023-07-29T17:45:00.000Z     AHORRO CONECEL # 4        
3400     1           1            2               10.0       2023-09-29T23:25:00.000Z     AHORRO CONECEL # 4        
3959     4           1            2               10.0       2024-04-30T21:47:18.000Z     AHORRO CONECEL # 4        
3450     1           1            2               10.0       2023-10-30T14:48:00.000Z     AHORRO CONECEL # 4        
4202     4           1            2               10.0       2024-07-30T01:07:59.830Z     AHORRO CONECEL # 4        
3206     1           1            2               10.0       2023-06-30T15:13:00.000Z     AHORRO CONECEL # 4        
3558     1           1            2               10.0       2023-12-20T22:08:00.000Z     AHORRO CONECEL # 4        
3714     1           1            2               10.0       2024-02-29T12:25:00.000Z     AHORRO CONECEL # 4        
3515     1           1            2               10.0       2023-11-29T22:02:00.000Z     AHORRO CONECEL # 4        
2262     1           1            2               58.33      2022-06-29T17:20:00.000Z     AHORRO CONECEL # 4        
3131     1           1            2               10.0       2023-05-30T01:12:00.000Z     AHORRO CONECEL # 4        
2180     1           1            2               58.33      2022-05-31T11:48:00.000Z     AHORRO CONECEL # 4        
1916     1           1            2               58.33      2022-03-31T15:50:00.000Z     AHORRO CONECEL # 4        
1675     1           1            2               58.33      2021-12-21T15:29:00.000Z     AHORRO CONECEL # 4        
2320     1           1            2               58.33      2022-07-29T17:49:00.000Z     AHORRO CONECEL # 4        
1618     1           1            2               58.33      2021-11-30T15:28:00.000Z     AHORRO CONECEL # 4        
2396     1           1            2               58.33      2022-08-31T00:45:00.000Z     AHORRO CONECEL # 4        
2460     1           1            2               10.0       2022-09-30T21:41:00.000Z     AHORRO CONECEL # 4        
1855     1           1            2               58.33      2022-02-28T15:16:00.000Z     AHORRO CONECEL # 4        
2547     1           1            2               10.0       2022-10-29T13:23:00.000Z     AHORRO CONECEL # 4        
1779     1           1            2               58.33      2022-01-29T22:20:00.000Z     AHORRO CONECEL # 4        
2082     1           1            2               58.33      2022-04-30T14:40:00.000Z     AHORRO CONECEL # 4        
2666     1           1            2               10.0       2022-12-22T13:46:00.000Z     AHORRO CONECEL # 4        
1508     1           1            2               58.33      2021-10-28T22:40:00.000Z     AHORRO CONECEL # 4        
2762     1           1            2               10.0       2023-01-31T23:19:00.000Z     AHORRO CONECEL # 4        
2806     1           1            2               10.0       2023-02-28T01:10:00.000Z     AHORRO CONECEL # 4        
2883     1           1            2               10.0       2023-03-29T23:08:00.000Z     AHORRO CONECEL # 4        
1426     1           1            2               58.33      2021-09-29T20:20:00.000Z     AHORRO CONECEL # 4        
3036     1           1            2               10.0       2023-04-28T22:42:00.000Z     AHORRO CONECEL # 4        
2608     1           1            2               10.0       2022-11-30T02:48:00.000Z     AHORRO CONECEL # 4        
5502     4           1            2               80.0       2025-11-28T17:45:07.000Z     AHORRO FLEX # 1           
5560     4           1            2               120.0      2025-12-20T13:28:29.200Z     AHORRO FLEX # 1           
5428     4           1            2               80.0       2025-10-30T11:28:00.077Z     AHORRO FLEX # 1           
5286     4           1            2               80.0       2025-08-28T22:07:54.430Z     AHORRO FLEX # 1           
5175     4           1            2               65.0       2025-07-16T11:19:47.691Z     AHORRO FLEX # 1           
5356     4           1            2               80.0       2025-09-30T00:10:29.970Z     AHORRO FLEX # 1           
5228     4           1            2               80.0       2025-07-30T00:27:30.540Z     AHORRO FLEX # 1           
4432     4           1            2               40.0       2024-10-15T16:01:29.982Z     BANQUITO FERTIZA          
5548     4           1            2               40.0       2025-12-13T17:34:31.842Z     BANQUITO FERTIZA          
5480     4           1            2               40.0       2025-11-14T01:10:18.869Z     BANQUITO FERTIZA          
4512     4           1            2               40.0       2024-11-28T19:16:29.323Z     BANQUITO FERTIZA          
4667     4           1            2               40.0       2025-01-29T21:08:36.014Z     BANQUITO FERTIZA          
5399     4           1            2               40.0       2025-10-14T01:52:51.767Z     BANQUITO FERTIZA          
5339     4           1            2               40.0       2025-09-15T15:47:03.985Z     BANQUITO FERTIZA          
5044     4           1            2               40.0       2025-05-16T14:45:15.518Z     BANQUITO FERTIZA          
4733     4           1            2               40.0       2025-02-14T15:19:34.135Z     BANQUITO FERTIZA          
5264     4           1            2               40.0       2025-08-15T18:43:24.989Z     BANQUITO FERTIZA          
4812     4           1            2               40.0       2025-03-15T16:35:12.133Z     BANQUITO FERTIZA          
5180     4           1            2               40.0       2025-07-16T13:23:48.565Z     BANQUITO FERTIZA          
4920     4           1            2               40.0       2025-04-14T15:31:02.003Z     BANQUITO FERTIZA          
5101     4           1            2               40.0       2025-06-15T16:16:52.980Z     BANQUITO FERTIZA          
4567     4           1            2               40.0       2024-12-13T14:36:45.000Z     BANQUITO FERTIZA          
4350     4           1            2               40.0       2024-09-13T20:25:18.249Z     BANQUITO FERTIZA          
2766     1           1            2               40.0       2023-02-01T14:30:00.000Z     BANQUITO FERTIZA          
4258     4           1            2               40.0       2024-08-15T16:31:45.262Z     BANQUITO FERTIZA          
2710     1           1            2               40.0       2023-01-14T13:37:00.000Z     BANQUITO FERTIZA          
